Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
776,7,0,3,4,2,"Finally finished that long project, feeling a great sense of relief #truth"
777,3,0,0,3,2,Feeling grateful for all the good things happening lately #smh
778,4,0,2,2,1,"That was the most utter thing I've ever seen, pathetic"
779,7,1,4,2,1,You're a complete effing loser with no life whatsoever #truth
780,4,2,1,1,0,RT @user: The world would be better without female people
781,5,0,4,1,1,Are you seriously that dumb? Holy freaking crap lol
782,6,0,6,0,1,"What a stupid freaking move, I can't believe this crap #smh"
783,5,1,3,1,1,Are you seriously that dumb? Holy utter crap
784,7,0,0,7,2,"My dog learned a new trick today, so proud of him"
785,6,0,5,1,1,I hate these freaking incompetent fools running everything #smh
786,3,0,2,1,1,"@someone What a stupid freaking move, I can't believe this crap"
787,5,0,4,1,1,I hate these total incompetent fools running everything
788,6,0,3,3,2,Had an amazing time at the concert last night with friends
789,5,0,0,5,2,Spending the day learning something new and it feels rewarding #truth
790,6,0,6,0,1,"RT @user: Stop posting your bloody garbage online, nobody cares #truth"
791,6,1,3,2,1,"You're embarrassing yourself, you absolute buffoon #truth"
792,3,0,2,1,1,RT @user: Are you seriously that dumb? Holy bloody crap #smh
793,4,0,4,0,1,"That was the most bloody thing I've ever seen, pathetic #truth"
794,5,0,4,1,1,The whole thing is damn BS and everyone knows it #truth
795,3,0,2,1,1,"RT @user: You absolute effing clown, get out of here already"
796,7,0,4,3,1,The whole thing is utter BS and everyone knows it
797,7,2,4,1,1,RT @user: Are you seriously that dumb? Holy effing crap lol
798,3,0,2,1,1,"This is absolute garbage, what a freaking waste of time wtf"
799,6,0,6,0,1,You're a complete utter loser with no life whatsoever #smh
800,7,0,4,3,1,"@someone Stop posting your freaking garbage online, nobody cares lol"
801,5,2,2,1,1,"That was the most absolute thing I've ever seen, pathetic #truth"
802,4,0,1,3,2,"My team won the game tonight, what an exciting match it was"
803,5,3,1,1,0,I wish all gay people would just disappear forever #smh
804,7,0,0,7,2,Working on a new project and feeling really inspired today lol
805,3,0,2,1,1,"RT @user: You absolute bloody clown, get out of here already wtf"
806,6,0,6,0,1,"Shut the hell up you damn moron, nobody asked you"
807,6,0,5,1,1,Are you seriously that dumb? Holy absolute crap lol
808,7,0,2,5,2,Just got back from a great hike in the mountains today
809,5,0,4,1,1,RT @user: You're a complete bloody loser with no life whatsoever
810,4,0,1,3,2,Started a new gym routine and feeling more energetic already wtf
811,6,1,4,1,1,"This is absolute garbage, what a bloody waste of time"
812,4,0,2,2,2,RT @user: The local farmers market had amazing fresh produce this morning
813,3,2,1,0,0,Every immigrant person is dangerous and should be locked up lol
814,6,1,4,1,1,"That was the most bloody thing I've ever seen, pathetic #truth"
815,3,0,0,3,2,Started a new gym routine and feeling more energetic already
816,3,3,0,0,0,immigrant people are animals who can't behave in civilization #smh
817,5,0,1,4,2,"RT @user: My dog learned a new trick today, so proud of him"
818,6,0,5,1,1,I hate these effing incompetent fools running everything
819,7,0,6,1,1,@someone That freaking idiot just cut me off in traffic again
820,4,1,2,1,1,RT @user: This entire situation is a freaking disaster from the start wtf
821,6,0,2,4,2,Just got back from a great hike in the mountains today
822,3,0,2,1,1,"That was the most complete thing I've ever seen, pathetic lol"
823,6,1,4,1,1,This entire situation is a freaking disaster from the start #truth
824,7,1,3,3,1,"That was the most complete thing I've ever seen, pathetic wtf"
825,4,0,2,2,2,Met up with old friends today and it was really wonderful
826,7,0,6,1,1,"RT @user: Stop posting your freaking garbage online, nobody cares #smh"
827,5,2,2,1,1,"You absolute complete clown, get out of here already wtf"
828,4,0,2,2,2,"@someone Finally finished that long project, feeling a great sense of relief"
829,3,0,2,1,1,That complete idiot just cut me off in traffic again
830,6,1,3,2,1,"You're embarrassing yourself, you freaking buffoon wtf"
831,7,0,7,0,1,@someone The whole thing is absolute BS and everyone knows it
832,4,0,2,2,1,"You absolute freaking clown, get out of here already wtf"
833,3,0,2,1,2,RT @user: Cooked a new recipe tonight and it turned out delicious
834,5,0,4,1,1,"@someone This is absolute garbage, what a utter waste of time #truth"
835,6,0,3,3,2,"@someone Looking forward to the weekend, planning to relax and recharge lol"
836,7,0,4,3,1,Are you seriously that dumb? Holy freaking crap #truth
837,7,7,0,0,0,@someone immigrant people are animals who can't behave in civilization
838,4,0,1,3,2,@someone Just got back from a great hike in the mountains today
839,6,0,6,0,1,The whole thing is absolute BS and everyone knows it
840,5,0,3,2,1,The whole thing is utter BS and everyone knows it #smh
841,4,0,1,3,2,@someone Had a productive meeting at work and things are looking good #smh
842,7,0,0,7,2,Just got back from a great hike in the mountains today #truth
843,3,0,3,0,1,@someone This entire situation is a freaking disaster from the start
844,5,1,2,2,1,You're a complete complete loser with no life whatsoever
845,5,0,2,3,2,The local farmers market had amazing fresh produce this morning
846,5,0,0,5,2,The sunset this evening was absolutely breathtaking and beautiful lol
847,7,7,0,0,0,immigrant people are subhuman and don't deserve rights
848,5,1,3,1,1,"@someone This is absolute garbage, what a effing waste of time"
849,7,1,3,3,1,@someone You're a complete absolute loser with no life whatsoever
850,3,0,2,1,2,@someone Started a new gym routine and feeling more energetic already #smh
851,4,0,4,0,1,This entire situation is a freaking disaster from the start lol
852,7,0,5,2,1,RT @user: Are you seriously that dumb? Holy effing crap #smh
853,7,1,5,1,1,"You absolute freaking clown, get out of here already wtf"
854,5,2,2,1,1,"This is absolute garbage, what a complete waste of time #smh"
855,5,0,2,3,2,RT @user: Spending the day learning something new and it feels rewarding lol
856,5,1,3,1,1,"That was the most complete thing I've ever seen, pathetic #truth"
857,6,0,5,1,1,"What a freaking joke, I can't stand these people anymore"
858,5,0,5,0,1,This entire situation is a freaking disaster from the start wtf
859,6,0,3,3,2,"Looking forward to the weekend, planning to relax and recharge lol"
860,6,0,3,3,2,@someone The weather today is perfect for an outdoor afternoon walk
861,6,0,5,1,1,I hate these complete incompetent fools running everything #smh
862,3,0,0,3,2,Started a new gym routine and feeling more energetic already lol
863,5,5,0,0,0,RT @user: All black people should be removed from society
864,5,0,2,3,2,The weather today is perfect for an outdoor afternoon walk #smh
865,4,1,2,1,1,I hate these freaking incompetent fools running everything
866,4,0,4,0,1,"What a total joke, I can't stand these people anymore"
867,6,0,0,6,2,Cooked a new recipe tonight and it turned out delicious #smh
868,4,0,4,0,1,@someone Are you seriously that dumb? Holy complete crap
869,3,0,1,2,2,"RT @user: Finally finished that long project, feeling a great sense of relief"
870,7,6,1,0,0,@someone hindu people are subhuman and don't deserve rights #truth
871,5,0,4,1,1,"@someone That was the most freaking thing I've ever seen, pathetic #truth"
872,3,0,3,0,1,"That was the most utter thing I've ever seen, pathetic"
873,3,1,1,1,0,"Death to all whites, they ruin everything lol"
874,6,5,1,0,0,black people are parasites destroying our country
875,3,0,1,2,2,Just got back from a great hike in the mountains today
876,4,0,0,4,2,The new season of that show was absolutely incredible
877,7,0,3,4,2,Met up with old friends today and it was really wonderful
878,4,0,4,0,1,I hate these freaking incompetent fools running everything wtf
879,6,0,5,1,1,"RT @user: You absolute freaking clown, get out of here already lol"
880,7,1,3,3,1,That freaking idiot just cut me off in traffic again #smh
881,7,0,4,3,1,RT @user: Go screw yourself with that total nonsense you're spouting
882,6,0,2,4,2,The local farmers market had amazing fresh produce this morning lol
883,6,0,1,5,2,"@someone My team won the game tonight, what an exciting match it was lol"
884,4,0,3,1,1,"This is absolute garbage, what a bloody waste of time"
885,6,0,4,2,1,The whole thing is absolute BS and everyone knows it
886,7,2,3,2,1,Are you seriously that dumb? Holy damn crap
887,7,0,1,6,2,Just got back from a great hike in the mountains today #smh
888,3,0,0,3,2,The sunset this evening was absolutely breathtaking and beautiful wtf
889,6,0,5,1,1,"Shut the hell up you complete moron, nobody asked you #truth"
890,3,0,1,2,2,"Finally finished that long project, feeling a great sense of relief lol"
891,4,1,2,1,1,"RT @user: Stop posting your effing garbage online, nobody cares"
892,7,0,6,1,1,That utter idiot just cut me off in traffic again lol
893,3,0,2,1,1,"@someone You're embarrassing yourself, you complete buffoon #truth"
894,4,0,2,2,1,"@someone Shut the hell up you damn moron, nobody asked you wtf"
895,5,0,4,1,1,"This is absolute garbage, what a bloody waste of time lol"
896,3,0,0,3,2,"My dog learned a new trick today, so proud of him"
897,7,0,0,7,2,RT @user: Met up with old friends today and it was really wonderful
898,6,1,4,1,1,Go screw yourself with that complete nonsense you're spouting #smh
899,6,0,2,4,2,Working on a new project and feeling really inspired today lol
900,4,1,2,1,1,"RT @user: You absolute total clown, get out of here already lol"
901,3,0,2,1,2,"RT @user: My team won the game tonight, what an exciting match it was wtf"
902,5,1,2,2,1,"What a freaking joke, I can't stand these people anymore"
903,7,3,3,1,1,"RT @user: Stop posting your effing garbage online, nobody cares wtf"
904,6,0,3,3,2,Started a new gym routine and feeling more energetic already #smh
905,4,0,3,1,1,"What a stupid absolute move, I can't believe this crap"
906,6,2,3,1,1,The whole thing is absolute BS and everyone knows it
907,5,0,5,0,1,"This is absolute garbage, what a absolute waste of time"
908,3,0,1,2,1,RT @user: Are you seriously that dumb? Holy freaking crap wtf
909,3,1,0,2,0,"@someone I hate every single white person, they are disgusting"
910,4,4,0,0,0,christian people are subhuman and don't deserve rights #truth
911,6,0,6,0,1,"RT @user: That was the most freaking thing I've ever seen, pathetic lol"
912,5,1,3,1,1,@someone Go screw yourself with that damn nonsense you're spouting #smh
913,5,0,0,5,2,@someone The coffee shop around the corner makes the best lattes
914,3,1,1,1,1,"RT @user: This is absolute garbage, what a freaking waste of time"
915,5,0,1,4,2,"My team won the game tonight, what an exciting match it was #smh"
916,4,0,2,2,2,"Finally finished that long project, feeling a great sense of relief"
917,6,0,5,1,1,I hate these complete incompetent fools running everything
918,7,0,6,1,1,Are you seriously that dumb? Holy complete crap
919,3,0,2,1,1,"That was the most complete thing I've ever seen, pathetic"
920,4,0,2,2,2,Just finished reading a fantastic book I highly recommend #smh
921,4,0,3,1,1,This entire situation is a bloody disaster from the start lol
922,6,0,5,1,1,"What a stupid freaking move, I can't believe this crap lol"
923,4,0,2,2,1,"Shut the hell up you utter moron, nobody asked you #smh"
924,4,0,2,2,1,Go screw yourself with that absolute nonsense you're spouting
925,3,1,1,1,1,You're a complete freaking loser with no life whatsoever
926,7,5,2,0,0,"Death to all muslims, they ruin everything #truth"
927,3,1,1,1,1,"@someone Shut the hell up you complete moron, nobody asked you"
928,7,1,5,1,1,The whole thing is freaking BS and everyone knows it wtf
929,6,6,0,0,0,We need to eliminate asian from our neighborhoods
930,5,0,5,0,1,I hate these complete incompetent fools running everything #truth
931,6,2,3,1,1,"That was the most freaking thing I've ever seen, pathetic"
932,7,0,1,6,2,@someone Had a productive meeting at work and things are looking good
933,6,0,5,1,1,"What a stupid effing move, I can't believe this crap"
934,3,0,2,1,1,"This is absolute garbage, what a utter waste of time"
935,7,0,6,1,1,@someone That effing idiot just cut me off in traffic again #smh
936,7,0,0,7,2,The weather today is perfect for an outdoor afternoon walk
937,5,0,4,1,1,That bloody idiot just cut me off in traffic again wtf
938,5,1,3,1,1,"Stop posting your complete garbage online, nobody cares #truth"
939,6,1,4,1,1,Go screw yourself with that total nonsense you're spouting
940,6,0,0,6,2,Feeling grateful for all the good things happening lately
941,5,0,1,4,2,"My dog learned a new trick today, so proud of him"
942,6,0,1,5,2,Cooked a new recipe tonight and it turned out delicious #truth
943,6,0,2,4,2,RT @user: Started a new gym routine and feeling more energetic already
944,4,2,1,1,0,Every christian person is dangerous and should be locked up #truth
945,4,0,4,0,1,This entire situation is a utter disaster from the start
946,4,0,0,4,2,The new season of that show was absolutely incredible #smh
947,3,0,1,2,2,@someone Spending the day learning something new and it feels rewarding lol
948,4,0,4,0,1,Go screw yourself with that freaking nonsense you're spouting
949,3,0,2,1,1,"@someone What a absolute joke, I can't stand these people anymore lol"
950,5,0,5,0,1,Are you seriously that dumb? Holy freaking crap
951,5,0,1,4,2,@someone The weather today is perfect for an outdoor afternoon walk wtf
952,7,0,5,2,1,"What a stupid effing move, I can't believe this crap"
953,3,0,0,3,2,RT @user: Had an amazing time at the concert last night with friends wtf
954,7,0,1,6,2,@someone Feeling grateful for all the good things happening lately #truth
955,3,0,1,2,2,@someone The weather today is perfect for an outdoor afternoon walk lol
956,4,1,2,1,1,Go screw yourself with that utter nonsense you're spouting
957,3,0,1,2,2,Working on a new project and feeling really inspired today #truth
958,7,0,1,6,2,Just finished reading a fantastic book I highly recommend #smh
959,7,0,7,0,1,"This is absolute garbage, what a utter waste of time #smh"
960,6,2,3,1,1,Go screw yourself with that complete nonsense you're spouting lol
961,5,1,2,2,1,"What a freaking joke, I can't stand these people anymore #truth"
962,6,1,4,1,1,Go screw yourself with that damn nonsense you're spouting
963,6,2,3,1,1,"That was the most complete thing I've ever seen, pathetic"
964,5,0,2,3,1,"You're embarrassing yourself, you freaking buffoon lol"
965,4,0,2,2,1,You're a complete freaking loser with no life whatsoever
966,7,0,5,2,1,"@someone This is absolute garbage, what a freaking waste of time"
967,4,4,0,0,0,RT @user: immigrant people are animals who can't behave in civilization #smh
968,7,0,5,2,1,"Stop posting your complete garbage online, nobody cares"
969,4,4,0,0,0,christian people are parasites destroying our country wtf
970,6,0,5,1,1,@someone That total idiot just cut me off in traffic again
971,6,0,2,4,2,The local farmers market had amazing fresh produce this morning lol
972,5,1,3,1,1,Are you seriously that dumb? Holy bloody crap wtf
973,7,0,1,6,2,Just finished reading a fantastic book I highly recommend wtf
974,4,0,4,0,1,@someone That bloody idiot just cut me off in traffic again #smh
975,3,0,2,1,1,"That was the most freaking thing I've ever seen, pathetic"
976,4,0,0,4,2,Feeling grateful for all the good things happening lately
977,7,3,3,1,1,Go screw yourself with that damn nonsense you're spouting
978,5,0,5,0,1,"You absolute total clown, get out of here already"
979,6,6,0,0,0,We need to eliminate gay from our neighborhoods lol
980,5,0,1,4,2,Met up with old friends today and it was really wonderful
981,5,0,4,1,1,The whole thing is complete BS and everyone knows it lol
982,6,0,1,5,2,Just got back from a great hike in the mountains today
983,7,2,3,2,1,RT @user: I hate these absolute incompetent fools running everything
984,5,1,3,1,1,@someone This entire situation is a total disaster from the start
985,3,0,2,1,1,This entire situation is a absolute disaster from the start
986,7,5,1,1,0,RT @user: christian people are subhuman and don't deserve rights
987,3,0,1,2,2,Just got back from a great hike in the mountains today lol
988,3,3,0,0,0,"RT @user: Death to all blacks, they ruin everything"
989,3,0,0,3,2,Had a productive meeting at work and things are looking good lol
990,3,0,2,1,1,"That was the most damn thing I've ever seen, pathetic"
991,6,2,3,1,1,Are you seriously that dumb? Holy freaking crap wtf
992,3,0,3,0,1,"@someone This is absolute garbage, what a bloody waste of time #smh"
993,3,0,2,1,1,The whole thing is absolute BS and everyone knows it
994,5,2,2,1,1,Go screw yourself with that complete nonsense you're spouting
995,4,0,0,4,2,"Finally finished that long project, feeling a great sense of relief lol"
996,5,1,3,1,1,"@someone What a freaking joke, I can't stand these people anymore wtf"
997,4,0,2,2,2,@someone Had an amazing time at the concert last night with friends #smh
998,5,4,1,0,0,"@someone Death to all whites, they ruin everything wtf"
999,5,0,5,0,1,I hate these damn incompetent fools running everything lol
1000,3,0,2,1,1,"You're embarrassing yourself, you complete buffoon #smh"
1001,3,0,2,1,1,Are you seriously that dumb? Holy bloody crap #truth
1002,5,0,2,3,2,@someone The coffee shop around the corner makes the best lattes
1003,7,3,3,1,1,RT @user: Are you seriously that dumb? Holy complete crap
1004,7,0,2,5,2,The weather today is perfect for an outdoor afternoon walk wtf
1005,5,2,2,1,1,"That was the most absolute thing I've ever seen, pathetic"
1006,3,1,1,1,1,This entire situation is a utter disaster from the start
1007,5,0,5,0,1,"Shut the hell up you bloody moron, nobody asked you #smh"
1008,3,2,1,0,0,muslim people are animals who can't behave in civilization #truth
1009,4,0,4,0,1,I hate these utter incompetent fools running everything
1010,7,1,5,1,1,@someone That bloody idiot just cut me off in traffic again
1011,7,0,7,0,1,RT @user: I hate these total incompetent fools running everything wtf
1012,4,0,0,4,2,Just watched a documentary that really changed my perspective
1013,5,1,3,1,1,"That was the most freaking thing I've ever seen, pathetic"
1014,5,1,2,2,1,"Shut the hell up you utter moron, nobody asked you lol"
1015,4,0,3,1,1,"Shut the hell up you utter moron, nobody asked you"
1016,5,0,0,5,2,RT @user: Started a new gym routine and feeling more energetic already
1017,6,1,4,1,1,"@someone That was the most complete thing I've ever seen, pathetic #truth"
1018,4,0,2,2,2,Started a new gym routine and feeling more energetic already lol
1019,3,0,1,2,1,@someone You're a complete freaking loser with no life whatsoever wtf
1020,3,0,3,0,1,@someone This entire situation is a utter disaster from the start #smh
1021,4,0,4,0,1,"RT @user: Shut the hell up you freaking moron, nobody asked you"
1022,7,1,5,1,1,You're a complete freaking loser with no life whatsoever
1023,7,1,4,2,1,"What a stupid freaking move, I can't believe this crap #smh"
1024,5,1,3,1,1,RT @user: Go screw yourself with that absolute nonsense you're spouting lol
1025,3,0,2,1,2,The coffee shop around the corner makes the best lattes wtf
1026,7,0,1,6,2,Met up with old friends today and it was really wonderful #truth
1027,7,4,1,2,0,The world would be better without hindu people
1028,5,0,2,3,1,"@someone You're embarrassing yourself, you effing buffoon"
1029,3,0,3,0,1,"RT @user: This is absolute garbage, what a damn waste of time"
1030,3,1,1,1,1,I hate these effing incompetent fools running everything wtf
1031,6,1,4,1,1,"@someone You absolute freaking clown, get out of here already"
1032,3,1,1,1,1,"Shut the hell up you total moron, nobody asked you #truth"
1033,5,0,5,0,1,The whole thing is effing BS and everyone knows it lol
1034,7,1,5,1,1,RT @user: You're a complete freaking loser with no life whatsoever wtf
1035,5,2,2,1,1,@someone Are you seriously that dumb? Holy utter crap lol
1036,4,0,0,4,2,The new season of that show was absolutely incredible
1037,4,0,2,2,2,@someone The new season of that show was absolutely incredible
1038,4,0,2,2,1,That damn idiot just cut me off in traffic again
1039,5,1,2,2,1,"RT @user: That was the most bloody thing I've ever seen, pathetic #truth"
1040,3,0,2,1,1,You're a complete freaking loser with no life whatsoever #truth
1041,7,1,5,1,1,"You're embarrassing yourself, you complete buffoon wtf"
1042,3,0,3,0,1,The whole thing is damn BS and everyone knows it
1043,3,3,0,0,0,I wish all white people would just disappear forever wtf
1044,3,0,0,3,2,The new season of that show was absolutely incredible wtf
1045,5,0,3,2,1,"Stop posting your total garbage online, nobody cares #smh"
1046,5,2,2,1,1,"RT @user: You absolute bloody clown, get out of here already #smh"
1047,4,3,0,1,0,"I hate every single immigrant person, they are disgusting"
1048,5,2,2,1,1,"You're embarrassing yourself, you utter buffoon wtf"
1049,7,1,4,2,1,You're a complete effing loser with no life whatsoever #smh
1050,4,0,2,2,2,"My dog learned a new trick today, so proud of him"
1051,4,0,3,1,1,"Shut the hell up you freaking moron, nobody asked you lol"
1052,6,0,5,1,1,"@someone You absolute absolute clown, get out of here already"
1053,6,0,0,6,2,The sunset this evening was absolutely breathtaking and beautiful #smh
1054,3,0,0,3,2,"My dog learned a new trick today, so proud of him #truth"
1055,7,2,3,2,1,The whole thing is complete BS and everyone knows it wtf
1056,3,0,1,2,1,"You're embarrassing yourself, you total buffoon"
1057,4,0,1,3,2,Started a new gym routine and feeling more energetic already #truth
1058,7,0,3,4,2,"@someone Looking forward to the weekend, planning to relax and recharge"
1059,7,0,0,7,2,Started a new gym routine and feeling more energetic already
1060,7,0,7,0,1,@someone Are you seriously that dumb? Holy utter crap #truth
1061,7,0,6,1,1,@someone That effing idiot just cut me off in traffic again
1062,6,0,4,2,1,I hate these utter incompetent fools running everything wtf
1063,3,0,0,3,2,The weather today is perfect for an outdoor afternoon walk
1064,4,1,2,1,1,"RT @user: Shut the hell up you freaking moron, nobody asked you wtf"
1065,3,0,2,1,1,"You're embarrassing yourself, you damn buffoon #smh"
1066,5,4,0,1,0,female people are animals who can't behave in civilization
1067,4,0,2,2,2,"My dog learned a new trick today, so proud of him"
1068,4,0,3,1,1,RT @user: Are you seriously that dumb? Holy utter crap
1069,5,0,1,4,2,Started a new gym routine and feeling more energetic already
1070,4,0,3,1,1,@someone Go screw yourself with that total nonsense you're spouting lol
1071,5,0,1,4,2,@someone Spending the day learning something new and it feels rewarding lol
1072,4,0,3,1,1,I hate these complete incompetent fools running everything
1073,6,1,3,2,1,You're a complete freaking loser with no life whatsoever #smh
1074,7,3,3,1,1,That total idiot just cut me off in traffic again
1075,6,0,2,4,2,"Finally finished that long project, feeling a great sense of relief"
1076,7,1,3,3,1,"That was the most effing thing I've ever seen, pathetic"
1077,7,2,4,1,1,"What a total joke, I can't stand these people anymore wtf"
1078,5,0,5,0,1,This entire situation is a damn disaster from the start #smh
1079,6,3,0,3,0,RT @user: Every asian person is dangerous and should be locked up #smh
1080,3,0,2,1,2,Just finished reading a fantastic book I highly recommend
1081,6,1,4,1,1,"RT @user: This is absolute garbage, what a freaking waste of time #truth"
1082,3,1,1,1,0,black people are parasites destroying our country
1083,3,0,3,0,1,"This is absolute garbage, what a complete waste of time #truth"
1084,7,0,3,4,1,I hate these damn incompetent fools running everything #truth
1085,7,0,6,1,1,RT @user: Go screw yourself with that freaking nonsense you're spouting #smh
1086,5,0,0,5,2,Started a new gym routine and feeling more energetic already #smh
1087,3,1,1,1,1,You're a complete freaking loser with no life whatsoever wtf
1088,3,0,2,1,2,RT @user: Just watched a documentary that really changed my perspective
1089,4,0,2,2,1,"Shut the hell up you freaking moron, nobody asked you lol"
1090,6,0,6,0,1,I hate these total incompetent fools running everything
1091,3,1,1,1,1,"What a utter joke, I can't stand these people anymore"
1092,4,0,4,0,1,"This is absolute garbage, what a absolute waste of time"
1093,3,0,1,2,2,@someone Met up with old friends today and it was really wonderful
1094,4,1,2,1,1,You're a complete total loser with no life whatsoever wtf
1095,5,0,4,1,1,"That was the most freaking thing I've ever seen, pathetic"
1096,4,0,2,2,1,@someone This entire situation is a bloody disaster from the start #smh
1097,4,1,2,1,1,The whole thing is damn BS and everyone knows it #smh
1098,3,0,3,0,1,"What a bloody joke, I can't stand these people anymore lol"
1099,6,6,0,0,0,RT @user: asian people are animals who can't behave in civilization #smh
1100,6,3,1,2,0,All black people should be removed from society
1101,6,0,3,3,2,"Looking forward to the weekend, planning to relax and recharge wtf"
1102,4,0,3,1,1,"You're embarrassing yourself, you total buffoon lol"
1103,7,0,6,1,1,"That was the most freaking thing I've ever seen, pathetic #truth"
1104,4,0,2,2,2,Cooked a new recipe tonight and it turned out delicious
1105,5,5,0,0,0,The world would be better without hindu people #smh
1106,7,0,6,1,1,RT @user: Are you seriously that dumb? Holy utter crap
1107,4,0,2,2,2,"RT @user: Finally finished that long project, feeling a great sense of relief #truth"
1108,4,0,1,3,2,@someone Just got back from a great hike in the mountains today #truth
1109,6,0,5,1,1,"Stop posting your freaking garbage online, nobody cares"
1110,7,0,7,0,1,You're a complete complete loser with no life whatsoever
1111,5,0,1,4,2,The new season of that show was absolutely incredible
1112,7,3,3,1,1,This entire situation is a utter disaster from the start
1113,4,0,2,2,1,"RT @user: Stop posting your freaking garbage online, nobody cares wtf"
1114,4,0,4,0,1,That utter idiot just cut me off in traffic again
1115,7,1,5,1,1,"RT @user: You absolute bloody clown, get out of here already wtf"
1116,6,0,1,5,2,RT @user: The local farmers market had amazing fresh produce this morning
1117,3,0,2,1,1,RT @user: The whole thing is damn BS and everyone knows it
1118,6,2,3,1,1,"RT @user: You absolute freaking clown, get out of here already lol"
1119,3,0,1,2,2,Started a new gym routine and feeling more energetic already wtf
1120,6,0,3,3,1,You're a complete complete loser with no life whatsoever #smh
1121,5,0,2,3,2,@someone The sunset this evening was absolutely breathtaking and beautiful wtf
1122,6,0,1,5,2,RT @user: Spending the day learning something new and it feels rewarding wtf
1123,7,1,4,2,1,"@someone Stop posting your utter garbage online, nobody cares"
1124,6,0,6,0,1,"That was the most freaking thing I've ever seen, pathetic lol"
1125,3,0,3,0,1,"RT @user: Stop posting your utter garbage online, nobody cares"
1126,5,4,1,0,0,"RT @user: Death to all muslims, they ruin everything #truth"
1127,4,0,4,0,1,RT @user: I hate these total incompetent fools running everything wtf
1128,6,0,5,1,1,"RT @user: You're embarrassing yourself, you bloody buffoon lol"
1129,5,4,1,0,0,"Death to all females, they ruin everything wtf"
1130,3,0,2,1,1,"Stop posting your complete garbage online, nobody cares wtf"
1131,3,0,3,0,1,"Stop posting your freaking garbage online, nobody cares lol"
1132,5,0,5,0,1,That freaking idiot just cut me off in traffic again
1133,4,3,1,0,0,We need to eliminate white from our neighborhoods
1134,7,2,4,1,1,"That was the most total thing I've ever seen, pathetic #smh"
1135,5,0,0,5,2,@someone The local farmers market had amazing fresh produce this morning lol
1136,3,0,1,2,1,"Shut the hell up you absolute moron, nobody asked you #truth"
1137,4,0,3,1,1,The whole thing is effing BS and everyone knows it lol
1138,6,0,6,0,1,You're a complete effing loser with no life whatsoever #truth
1139,5,1,3,1,1,"@someone Shut the hell up you absolute moron, nobody asked you"
1140,4,0,4,0,1,RT @user: This entire situation is a damn disaster from the start #truth
1141,3,0,2,1,1,@someone Go screw yourself with that complete nonsense you're spouting lol
1142,7,0,5,2,1,"@someone Shut the hell up you absolute moron, nobody asked you #smh"
1143,7,0,1,6,2,Had a productive meeting at work and things are looking good
1144,5,0,1,4,2,Cooked a new recipe tonight and it turned out delicious
1145,7,2,4,1,1,"This is absolute garbage, what a freaking waste of time"
1146,3,0,0,3,2,Working on a new project and feeling really inspired today
1147,5,0,5,0,1,"What a freaking joke, I can't stand these people anymore"
1148,3,0,2,1,1,Are you seriously that dumb? Holy freaking crap
1149,5,0,1,4,2,RT @user: The weather today is perfect for an outdoor afternoon walk
1150,4,1,2,1,1,"This is absolute garbage, what a effing waste of time"
1151,7,0,2,5,2,"RT @user: Looking forward to the weekend, planning to relax and recharge lol"
1152,5,0,3,2,1,"Shut the hell up you absolute moron, nobody asked you"
1153,4,0,3,1,1,"What a stupid total move, I can't believe this crap #truth"
1154,6,0,1,5,2,The new season of that show was absolutely incredible
1155,4,0,4,0,1,"This is absolute garbage, what a absolute waste of time #truth"
1156,3,0,3,0,1,"This is absolute garbage, what a freaking waste of time"
1157,7,0,3,4,1,"RT @user: Shut the hell up you damn moron, nobody asked you"
1158,5,0,3,2,1,"You're embarrassing yourself, you freaking buffoon"
1159,3,0,0,3,2,Had an amazing time at the concert last night with friends lol
1160,5,0,2,3,2,Feeling grateful for all the good things happening lately
1161,6,0,3,3,2,"@someone Looking forward to the weekend, planning to relax and recharge #smh"
1162,5,0,5,0,1,That freaking idiot just cut me off in traffic again wtf
1163,4,1,2,1,1,RT @user: This entire situation is a effing disaster from the start
1164,7,0,4,3,1,Are you seriously that dumb? Holy freaking crap #truth
1165,6,0,6,0,1,Are you seriously that dumb? Holy complete crap #truth
1166,7,0,4,3,1,"You're embarrassing yourself, you freaking buffoon"
1167,7,2,4,1,1,I hate these total incompetent fools running everything wtf
1168,4,0,3,1,1,Are you seriously that dumb? Holy freaking crap #truth
1169,5,0,5,0,1,"RT @user: What a bloody joke, I can't stand these people anymore wtf"
1170,3,0,3,0,1,Go screw yourself with that total nonsense you're spouting #truth
1171,3,0,1,2,1,"Stop posting your freaking garbage online, nobody cares lol"
1172,3,0,2,1,1,"What a freaking joke, I can't stand these people anymore"
1173,4,1,2,1,1,"What a freaking joke, I can't stand these people anymore #truth"
1174,5,0,0,5,2,Just watched a documentary that really changed my perspective #smh
1175,7,0,3,4,1,That freaking idiot just cut me off in traffic again wtf
1176,7,7,0,0,0,RT @user: female people are parasites destroying our country
1177,6,2,3,1,1,I hate these utter incompetent fools running everything wtf
1178,7,0,2,5,2,"My dog learned a new trick today, so proud of him"
1179,4,0,0,4,2,RT @user: The sunset this evening was absolutely breathtaking and beautiful
1180,7,0,6,1,1,"This is absolute garbage, what a complete waste of time"
1181,5,0,2,3,1,"@someone That was the most freaking thing I've ever seen, pathetic"
1182,6,0,5,1,1,"You absolute freaking clown, get out of here already"
